"lab","subject","scenario","attribution","punishment","outcome","prison","mental_inst","free"
1,"1_45","operable",0,7,"prison",1,0,0
1,"1_46","inoperable",1,4,"free",0,0,1
1,"1_47","operable",0,6,"mental_inst",0,1,0
1,"1_48","operable",1,4,"prison",1,0,0
1,"1_49","inoperable",0,6,"prison",1,0,0
1,"1_50","jealous_rage",1,6,"mental_inst",0,1,0
1,"1_51","inoperable",0,6,"prison",1,0,0
1,"1_52","jealous_rage",1,3,"mental_inst",0,1,0
1,"1_53","inoperable",0,6,"mental_inst",0,1,0
1,"1_54","inoperable",1,2,"mental_inst",0,1,0
1,"1_55","jealous_rage",0,6,"prison",1,0,0
1,"1_56","jealous_rage",1,1,"mental_inst",0,1,0
1,"1_57","operable",0,1,"mental_inst",0,1,0
1,"1_58","operable",1,3,"free",0,0,1
1,"1_59","operable",0,1,"free",0,0,1
1,"1_60","inoperable",1,7,"prison",1,0,0
1,"1_61","inoperable",0,1,"mental_inst",0,1,0
1,"1_62","operable",1,4,"prison",1,0,0
1,"1_63","jealous_rage",0,3,"mental_inst",0,1,0
1,"1_64","inoperable",1,1,"mental_inst",0,1,0
1,"1_65","jealous_rage",0,5,"free",0,0,1
1,"1_66","operable",1,3,"mental_inst",0,1,0
1,"1_67","operable",0,5,"free",0,0,1
1,"1_68","inoperable",1,5,"mental_inst",0,1,0
1,"1_69","jealous_rage",0,4,"free",0,0,1
1,"1_70","operable",1,4,"prison",1,0,0
1,"1_71","inoperable",0,2,"prison",1,0,0
1,"1_72","operable",1,3,"prison",1,0,0
1,"1_73","jealous_rage",0,4,"free",0,0,1
1,"1_74","jealous_rage",1,4,"prison",1,0,0
1,"1_75","operable",0,7,"mental_inst",0,1,0
1,"1_76","operable",1,5,"free",0,0,1
1,"1_77","jealous_rage",0,4,"mental_inst",0,1,0
1,"1_78","operable",1,5,"free",0,0,1
1,"1_79","operable",0,4,"prison",1,0,0
1,"1_80","operable",1,2,"prison",1,0,0
2,"2_1","jealous_rage",0,6,"mental_inst",0,1,0
2,"2_2","jealous_rage",1,7,"free",0,0,1
2,"2_3","inoperable",0,5,"prison",1,0,0
2,"2_4","operable",1,5,"free",0,0,1
2,"2_5","inoperable",0,6,"prison",1,0,0
2,"2_6","inoperable",1,5,"mental_inst",0,1,0
2,"2_7","operable",0,7,"prison",1,0,0
2,"2_8","operable",1,6,"free",0,0,1
2,"2_9","operable",0,5,"mental_inst",0,1,0
2,"2_10","inoperable",1,2,"free",0,0,1
2,"2_11","jealous_rage",0,2,"free",0,0,1
2,"2_12","inoperable",1,4,"mental_inst",0,1,0
2,"2_13","operable",0,1,"prison",1,0,0
2,"2_14","inoperable",1,5,"prison",1,0,0
2,"2_15","operable",0,6,"prison",1,0,0
2,"2_16","jealous_rage",1,2,"free",0,0,1
2,"2_17","inoperable",0,3,"mental_inst",0,1,0
2,"2_18","jealous_rage",1,3,"mental_inst",0,1,0
2,"2_19","inoperable",0,5,"free",0,0,1
2,"2_20","jealous_rage",1,2,"free",0,0,1
2,"2_21","jealous_rage",0,2,"prison",1,0,0
2,"2_22","inoperable",1,4,"free",0,0,1
2,"2_23","inoperable",0,4,"free",0,0,1
2,"2_24","jealous_rage",1,4,"free",0,0,1
2,"2_25","inoperable",0,2,"free",0,0,1
2,"2_26","inoperable",1,2,"mental_inst",0,1,0
2,"2_27","inoperable",0,5,"free",0,0,1
2,"2_28","inoperable",1,7,"mental_inst",0,1,0
2,"2_29","operable",0,4,"prison",1,0,0
2,"2_30","operable",1,6,"mental_inst",0,1,0
2,"2_31","jealous_rage",0,4,"prison",1,0,0
2,"2_32","operable",1,2,"prison",1,0,0
2,"2_33","inoperable",0,2,"prison",1,0,0
2,"2_34","operable",1,4,"mental_inst",0,1,0
2,"2_35","inoperable",0,6,"prison",1,0,0
2,"2_36","jealous_rage",1,2,"mental_inst",0,1,0
2,"2_37","jealous_rage",0,2,"free",0,0,1
2,"2_38","operable",1,2,"free",0,0,1
2,"2_39","inoperable",0,1,"free",0,0,1
2,"2_40","inoperable",1,3,"mental_inst",0,1,0
2,"2_41","jealous_rage",0,1,"free",0,0,1
2,"2_42","jealous_rage",1,1,"free",0,0,1
2,"2_43","operable",0,4,"prison",1,0,0
2,"2_44","operable",1,5,"mental_inst",0,1,0
2,"2_45","jealous_rage",0,2,"mental_inst",0,1,0
2,"2_46","operable",1,6,"prison",1,0,0
2,"2_47","jealous_rage",0,5,"mental_inst",0,1,0
2,"2_48","operable",1,2,"mental_inst",0,1,0
2,"2_49","operable",0,1,"free",0,0,1
2,"2_50","inoperable",1,5,"prison",1,0,0
2,"2_51","inoperable",0,2,"free",0,0,1
2,"2_52","inoperable",1,4,"mental_inst",0,1,0
2,"2_53","inoperable",0,6,"mental_inst",0,1,0
2,"2_54","inoperable",1,7,"free",0,0,1
2,"2_55","operable",0,7,"prison",1,0,0
2,"2_56","jealous_rage",1,3,"free",0,0,1
2,"2_57","jealous_rage",0,3,"free",0,0,1
2,"2_58","inoperable",1,1,"free",0,0,1
2,"2_59","inoperable",0,2,"mental_inst",0,1,0
2,"2_60","operable",1,7,"prison",1,0,0
2,"2_61","inoperable",0,6,"mental_inst",0,1,0
2,"2_62","jealous_rage",1,7,"mental_inst",0,1,0
2,"2_63","inoperable",0,2,"mental_inst",0,1,0
2,"2_64","inoperable",1,4,"prison",1,0,0
2,"2_65","inoperable",0,7,"prison",1,0,0
2,"2_66","inoperable",1,2,"prison",1,0,0
2,"2_67","jealous_rage",0,1,"free",0,0,1
2,"2_68","inoperable",1,7,"mental_inst",0,1,0
2,"2_69","jealous_rage",0,1,"free",0,0,1
2,"2_70","jealous_rage",1,3,"free",0,0,1
2,"2_71","inoperable",0,1,"mental_inst",0,1,0
2,"2_72","jealous_rage",1,2,"free",0,0,1
2,"2_73","operable",0,5,"prison",1,0,0
2,"2_74","jealous_rage",1,7,"free",0,0,1
2,"2_75","operable",0,1,"prison",1,0,0
2,"2_76","jealous_rage",1,1,"prison",1,0,0
2,"2_77","inoperable",0,6,"free",0,0,1
2,"2_78","jealous_rage",1,1,"free",0,0,1
2,"2_79","operable",0,3,"mental_inst",0,1,0
2,"2_80","inoperable",1,6,"mental_inst",0,1,0
3,"3_1","inoperable",0,6,"mental_inst",0,1,0
3,"3_2","operable",1,5,"prison",1,0,0
3,"3_3","inoperable",0,2,"prison",1,0,0
3,"3_4","operable",1,1,"free",0,0,1
3,"3_5","operable",0,5,"prison",1,0,0
3,"3_6","jealous_rage",1,2,"mental_inst",0,1,0
3,"3_7","jealous_rage",0,6,"prison",1,0,0
3,"3_8","operable",1,3,"mental_inst",0,1,0
3,"3_9","inoperable",0,3,"prison",1,0,0
3,"3_10","operable",1,3,"mental_inst",0,1,0
3,"3_11","operable",0,6,"free",0,0,1
3,"3_12","inoperable",1,6,"mental_inst",0,1,0
3,"3_13","jealous_rage",0,4,"prison",1,0,0
3,"3_14","inoperable",1,4,"mental_inst",0,1,0
3,"3_15","jealous_rage",0,3,"free",0,0,1
3,"3_16","jealous_rage",1,6,"mental_inst",0,1,0
3,"3_17","inoperable",0,4,"mental_inst",0,1,0
3,"3_18","inoperable",1,5,"prison",1,0,0
3,"3_19","jealous_rage",0,1,"mental_inst",0,1,0
3,"3_20","inoperable",1,2,"prison",1,0,0
3,"3_21","operable",0,5,"prison",1,0,0
3,"3_22","operable",1,7,"prison",1,0,0
3,"3_23","jealous_rage",0,6,"prison",1,0,0
3,"3_24","jealous_rage",1,4,"mental_inst",0,1,0
3,"3_25","inoperable",0,4,"mental_inst",0,1,0
3,"3_26","jealous_rage",1,4,"free",0,0,1
3,"3_27","jealous_rage",0,6,"free",0,0,1
3,"3_28","jealous_rage",1,2,"mental_inst",0,1,0
3,"3_29","inoperable",0,3,"free",0,0,1
3,"3_30","operable",1,5,"prison",1,0,0
3,"3_31","inoperable",0,2,"free",0,0,1
3,"3_32","jealous_rage",1,2,"mental_inst",0,1,0
3,"3_33","operable",0,5,"mental_inst",0,1,0
3,"3_34","operable",1,7,"free",0,0,1
3,"3_35","jealous_rage",0,6,"free",0,0,1
3,"3_36","inoperable",1,3,"mental_inst",0,1,0
3,"3_37","inoperable",0,4,"free",0,0,1
3,"3_38","inoperable",1,7,"mental_inst",0,1,0
3,"3_39","operable",0,4,"prison",1,0,0
3,"3_40","jealous_rage",1,3,"prison",1,0,0
3,"3_41","inoperable",0,1,"free",0,0,1
3,"3_42","operable",1,3,"free",0,0,1
3,"3_43","jealous_rage",0,5,"mental_inst",0,1,0
3,"3_44","jealous_rage",1,5,"prison",1,0,0
3,"3_45","inoperable",0,5,"free",0,0,1
3,"3_46","operable",1,5,"prison",1,0,0
3,"3_47","inoperable",0,2,"mental_inst",0,1,0
3,"3_48","inoperable",1,7,"free",0,0,1
3,"3_49","jealous_rage",0,5,"free",0,0,1
3,"3_50","inoperable",1,2,"prison",1,0,0
3,"3_51","inoperable",0,5,"prison",1,0,0
3,"3_52","jealous_rage",1,6,"prison",1,0,0
3,"3_53","jealous_rage",0,7,"mental_inst",0,1,0
3,"3_54","operable",1,7,"free",0,0,1
3,"3_55","operable",0,6,"free",0,0,1
3,"3_56","operable",1,3,"free",0,0,1
3,"3_57","jealous_rage",0,2,"free",0,0,1
3,"3_58","jealous_rage",1,4,"free",0,0,1
3,"3_59","operable",0,1,"mental_inst",0,1,0
3,"3_60","jealous_rage",1,3,"prison",1,0,0
3,"3_61","jealous_rage",0,1,"prison",1,0,0
3,"3_62","jealous_rage",1,2,"prison",1,0,0
3,"3_63","operable",0,7,"mental_inst",0,1,0
3,"3_64","jealous_rage",1,2,"mental_inst",0,1,0
3,"3_65","operable",0,2,"free",0,0,1
3,"3_66","operable",1,4,"mental_inst",0,1,0
3,"3_67","inoperable",0,2,"mental_inst",0,1,0
3,"3_68","jealous_rage",1,2,"prison",1,0,0
3,"3_69","jealous_rage",0,7,"free",0,0,1
3,"3_70","jealous_rage",1,6,"mental_inst",0,1,0
3,"3_71","jealous_rage",0,1,"free",0,0,1
3,"3_72","jealous_rage",1,7,"mental_inst",0,1,0
3,"3_73","inoperable",0,1,"prison",1,0,0
3,"3_74","inoperable",1,7,"free",0,0,1
3,"3_75","inoperable",0,7,"free",0,0,1
3,"3_76","inoperable",1,1,"mental_inst",0,1,0
3,"3_77","operable",0,2,"free",0,0,1
3,"3_78","operable",1,1,"prison",1,0,0
3,"3_79","operable",0,5,"free",0,0,1
3,"3_80","jealous_rage",1,6,"prison",1,0,0
4,"4_1","operable",0,2,"mental_inst",0,1,0
4,"4_2","inoperable",1,7,"mental_inst",0,1,0
4,"4_3","operable",0,7,"free",0,0,1
4,"4_4","jealous_rage",1,3,"prison",1,0,0
4,"4_5","jealous_rage",0,5,"mental_inst",0,1,0
4,"4_6","operable",1,4,"free",0,0,1
4,"4_7","operable",0,3,"free",0,0,1
4,"4_8","jealous_rage",1,6,"prison",1,0,0
4,"4_9","jealous_rage",0,5,"prison",1,0,0
4,"4_10","inoperable",1,1,"mental_inst",0,1,0
4,"4_11","jealous_rage",0,3,"prison",1,0,0
4,"4_12","jealous_rage",1,5,"prison",1,0,0
4,"4_13","operable",0,3,"prison",1,0,0
4,"4_14","inoperable",1,1,"mental_inst",0,1,0
4,"4_15","inoperable",0,6,"mental_inst",0,1,0
4,"4_16","operable",1,5,"free",0,0,1
4,"4_17","operable",0,1,"free",0,0,1
4,"4_18","operable",1,4,"free",0,0,1
4,"4_19","jealous_rage",0,1,"mental_inst",0,1,0
4,"4_20","operable",1,2,"free",0,0,1
4,"4_21","inoperable",0,3,"free",0,0,1
4,"4_22","jealous_rage",1,7,"free",0,0,1
4,"4_23","jealous_rage",0,4,"free",0,0,1
4,"4_24","inoperable",1,7,"mental_inst",0,1,0
4,"4_25","jealous_rage",0,4,"mental_inst",0,1,0
4,"4_26","inoperable",1,4,"free",0,0,1
4,"4_27","jealous_rage",0,1,"mental_inst",0,1,0
4,"4_28","operable",1,7,"mental_inst",0,1,0
4,"4_29","jealous_rage",0,3,"free",0,0,1
4,"4_30","inoperable",1,6,"prison",1,0,0
4,"4_31","inoperable",0,3,"mental_inst",0,1,0
4,"4_32","inoperable",1,7,"mental_inst",0,1,0
4,"4_33","operable",0,5,"free",0,0,1
4,"4_34","operable",1,1,"prison",1,0,0
4,"4_35","operable",0,1,"mental_inst",0,1,0
4,"4_36","inoperable",1,4,"mental_inst",0,1,0
4,"4_37","operable",0,5,"free",0,0,1
4,"4_38","inoperable",1,4,"free",0,0,1
4,"4_39","jealous_rage",0,1,"free",0,0,1
4,"4_40","operable",1,1,"prison",1,0,0
4,"4_41","operable",0,7,"free",0,0,1
4,"4_42","jealous_rage",1,6,"prison",1,0,0
4,"4_43","operable",0,6,"prison",1,0,0
4,"4_44","jealous_rage",1,7,"free",0,0,1
4,"4_45","jealous_rage",0,1,"mental_inst",0,1,0
4,"4_46","operable",1,7,"prison",1,0,0
4,"4_47","inoperable",0,4,"free",0,0,1
4,"4_48","jealous_rage",1,6,"mental_inst",0,1,0
4,"4_49","operable",0,4,"free",0,0,1
4,"4_50","jealous_rage",1,3,"free",0,0,1
4,"4_51","inoperable",0,1,"free",0,0,1
4,"4_52","operable",1,1,"mental_inst",0,1,0
4,"4_53","inoperable",0,5,"prison",1,0,0
4,"4_54","operable",1,4,"prison",1,0,0
4,"4_55","jealous_rage",0,2,"mental_inst",0,1,0
4,"4_56","operable",1,4,"free",0,0,1
4,"4_57","operable",0,7,"mental_inst",0,1,0
4,"4_58","operable",1,2,"free",0,0,1
4,"4_59","inoperable",0,3,"free",0,0,1
4,"4_60","jealous_rage",1,7,"free",0,0,1
4,"4_61","operable",0,5,"mental_inst",0,1,0
4,"4_62","operable",1,2,"prison",1,0,0
4,"4_63","inoperable",0,1,"free",0,0,1
4,"4_64","jealous_rage",1,3,"prison",1,0,0
4,"4_65","operable",0,6,"free",0,0,1
4,"4_66","inoperable",1,2,"prison",1,0,0
4,"4_67","operable",0,5,"mental_inst",0,1,0
4,"4_68","jealous_rage",1,6,"mental_inst",0,1,0
4,"4_69","inoperable",0,7,"mental_inst",0,1,0
4,"4_70","jealous_rage",1,4,"prison",1,0,0
4,"4_71","operable",0,7,"mental_inst",0,1,0
4,"4_72","inoperable",1,7,"prison",1,0,0
4,"4_73","operable",0,5,"free",0,0,1
4,"4_74","operable",1,4,"prison",1,0,0
4,"4_75","inoperable",0,2,"prison",1,0,0
4,"4_76","operable",1,3,"prison",1,0,0
4,"4_77","operable",0,6,"mental_inst",0,1,0
4,"4_78","inoperable",1,1,"free",0,0,1
4,"4_79","jealous_rage",0,6,"prison",1,0,0
4,"4_80","jealous_rage",1,5,"prison",1,0,0
5,"5_1","inoperable",0,1,"mental_inst",0,1,0
5,"5_2","jealous_rage",1,4,"mental_inst",0,1,0
5,"5_3","jealous_rage",0,1,"prison",1,0,0
5,"5_4","inoperable",1,1,"free",0,0,1
5,"5_5","jealous_rage",0,5,"mental_inst",0,1,0
5,"5_6","operable",1,1,"prison",1,0,0
5,"5_7","jealous_rage",0,3,"prison",1,0,0
5,"5_8","operable",1,4,"free",0,0,1
5,"5_9","operable",0,3,"prison",1,0,0
5,"5_10","jealous_rage",1,1,"free",0,0,1
5,"5_11","operable",0,2,"mental_inst",0,1,0
5,"5_12","operable",1,7,"mental_inst",0,1,0
5,"5_13","inoperable",0,7,"prison",1,0,0
5,"5_14","operable",1,2,"prison",1,0,0
5,"5_15","jealous_rage",0,4,"prison",1,0,0
5,"5_16","operable",1,7,"mental_inst",0,1,0
5,"5_17","jealous_rage",0,3,"prison",1,0,0
5,"5_18","inoperable",1,4,"mental_inst",0,1,0
5,"5_19","operable",0,7,"prison",1,0,0
5,"5_20","operable",1,5,"mental_inst",0,1,0
5,"5_21","jealous_rage",0,5,"mental_inst",0,1,0
5,"5_22","jealous_rage",1,5,"mental_inst",0,1,0
5,"5_23","inoperable",0,3,"free",0,0,1
5,"5_24","operable",1,3,"free",0,0,1
5,"5_25","inoperable",0,5,"mental_inst",0,1,0
5,"5_26","operable",1,6,"prison",1,0,0
5,"5_27","operable",0,4,"prison",1,0,0
5,"5_28","inoperable",1,7,"mental_inst",0,1,0
5,"5_29","operable",0,7,"mental_inst",0,1,0
5,"5_30","operable",1,2,"prison",1,0,0
5,"5_31","operable",0,5,"mental_inst",0,1,0
5,"5_32","jealous_rage",1,4,"free",0,0,1
5,"5_33","inoperable",0,5,"prison",1,0,0
5,"5_34","inoperable",1,1,"prison",1,0,0
5,"5_35","operable",0,3,"free",0,0,1
5,"5_36","jealous_rage",1,6,"free",0,0,1
5,"5_37","operable",0,4,"prison",1,0,0
5,"5_38","operable",1,4,"mental_inst",0,1,0
5,"5_39","inoperable",0,3,"mental_inst",0,1,0
5,"5_40","inoperable",1,3,"prison",1,0,0
5,"5_41","inoperable",0,5,"mental_inst",0,1,0
5,"5_42","operable",1,3,"mental_inst",0,1,0
5,"5_43","inoperable",0,7,"mental_inst",0,1,0
5,"5_44","jealous_rage",1,6,"mental_inst",0,1,0
5,"5_45","jealous_rage",0,3,"free",0,0,1
5,"5_46","operable",1,7,"free",0,0,1
5,"5_47","operable",0,6,"prison",1,0,0
5,"5_48","operable",1,7,"free",0,0,1
5,"5_49","inoperable",0,2,"prison",1,0,0
5,"5_50","inoperable",1,7,"free",0,0,1
5,"5_51","operable",0,5,"free",0,0,1
5,"5_52","jealous_rage",1,4,"prison",1,0,0
5,"5_53","inoperable",0,6,"mental_inst",0,1,0
5,"5_54","jealous_rage",1,1,"free",0,0,1
5,"5_55","jealous_rage",0,6,"free",0,0,1
5,"5_56","inoperable",1,6,"prison",1,0,0
5,"5_57","inoperable",0,3,"free",0,0,1
5,"5_58","operable",1,4,"free",0,0,1
5,"5_59","jealous_rage",0,6,"prison",1,0,0
5,"5_60","operable",1,3,"free",0,0,1
5,"5_61","jealous_rage",0,6,"prison",1,0,0
5,"5_62","operable",1,1,"mental_inst",0,1,0
5,"5_63","operable",0,1,"mental_inst",0,1,0
5,"5_64","jealous_rage",1,2,"free",0,0,1
5,"5_65","jealous_rage",0,4,"mental_inst",0,1,0
5,"5_66","jealous_rage",1,3,"free",0,0,1
5,"5_67","operable",0,4,"mental_inst",0,1,0
5,"5_68","operable",1,3,"free",0,0,1
5,"5_69","inoperable",0,4,"prison",1,0,0
5,"5_70","jealous_rage",1,4,"mental_inst",0,1,0
5,"5_71","jealous_rage",0,7,"mental_inst",0,1,0
5,"5_72","jealous_rage",1,2,"mental_inst",0,1,0
5,"5_73","operable",0,5,"free",0,0,1
5,"5_74","operable",1,1,"mental_inst",0,1,0
5,"5_75","jealous_rage",0,6,"prison",1,0,0
5,"5_76","jealous_rage",1,3,"mental_inst",0,1,0
5,"5_77","jealous_rage",0,3,"prison",1,0,0
5,"5_78","jealous_rage",1,7,"free",0,0,1
5,"5_79","operable",0,7,"prison",1,0,0
5,"5_80","operable",1,5,"mental_inst",0,1,0
6,"6_1","operable",0,7,"mental_inst",0,1,0
6,"6_2","jealous_rage",1,3,"prison",1,0,0
6,"6_3","jealous_rage",0,1,"free",0,0,1
6,"6_4","inoperable",1,2,"mental_inst",0,1,0
6,"6_5","inoperable",0,1,"prison",1,0,0
6,"6_6","inoperable",1,6,"free",0,0,1
6,"6_7","inoperable",0,4,"free",0,0,1
6,"6_8","operable",1,7,"mental_inst",0,1,0
6,"6_9","inoperable",0,7,"free",0,0,1
6,"6_10","inoperable",1,5,"mental_inst",0,1,0
6,"6_11","inoperable",0,7,"mental_inst",0,1,0
6,"6_12","jealous_rage",1,4,"prison",1,0,0
6,"6_13","inoperable",0,5,"free",0,0,1
6,"6_14","jealous_rage",1,1,"free",0,0,1
6,"6_15","jealous_rage",0,7,"mental_inst",0,1,0
6,"6_16","operable",1,4,"mental_inst",0,1,0
6,"6_17","operable",0,5,"mental_inst",0,1,0
6,"6_18","operable",1,1,"prison",1,0,0
6,"6_19","inoperable",0,5,"prison",1,0,0
6,"6_20","jealous_rage",1,6,"mental_inst",0,1,0
6,"6_21","jealous_rage",0,2,"free",0,0,1
6,"6_22","inoperable",1,4,"free",0,0,1
6,"6_23","jealous_rage",0,4,"prison",1,0,0
6,"6_24","jealous_rage",1,1,"prison",1,0,0
6,"6_25","inoperable",0,3,"free",0,0,1
6,"6_26","jealous_rage",1,7,"mental_inst",0,1,0
6,"6_27","operable",0,5,"free",0,0,1
6,"6_28","jealous_rage",1,5,"mental_inst",0,1,0
6,"6_29","operable",0,4,"prison",1,0,0
6,"6_30","inoperable",1,5,"mental_inst",0,1,0
6,"6_31","jealous_rage",0,7,"mental_inst",0,1,0
6,"6_32","jealous_rage",1,6,"free",0,0,1
6,"6_33","inoperable",0,4,"mental_inst",0,1,0
6,"6_34","jealous_rage",1,3,"prison",1,0,0
6,"6_35","inoperable",0,5,"prison",1,0,0
6,"6_36","operable",1,3,"free",0,0,1
6,"6_37","jealous_rage",0,6,"free",0,0,1
6,"6_38","jealous_rage",1,6,"mental_inst",0,1,0
6,"6_39","jealous_rage",0,4,"prison",1,0,0
6,"6_40","jealous_rage",1,3,"mental_inst",0,1,0
6,"6_41","jealous_rage",0,3,"mental_inst",0,1,0
6,"6_42","operable",1,5,"mental_inst",0,1,0
6,"6_43","inoperable",0,3,"prison",1,0,0
6,"6_44","inoperable",1,2,"mental_inst",0,1,0
6,"6_45","jealous_rage",0,6,"mental_inst",0,1,0
6,"6_46","jealous_rage",1,4,"free",0,0,1
6,"6_47","operable",0,4,"prison",1,0,0
6,"6_48","inoperable",1,1,"prison",1,0,0
6,"6_49","operable",0,5,"mental_inst",0,1,0
6,"6_50","jealous_rage",1,4,"mental_inst",0,1,0
6,"6_51","inoperable",0,3,"free",0,0,1
6,"6_52","inoperable",1,3,"mental_inst",0,1,0
6,"6_53","inoperable",0,5,"mental_inst",0,1,0
6,"6_54","jealous_rage",1,7,"prison",1,0,0
6,"6_55","jealous_rage",0,1,"free",0,0,1
6,"6_56","jealous_rage",1,3,"mental_inst",0,1,0
6,"6_57","jealous_rage",0,5,"free",0,0,1
6,"6_58","inoperable",1,2,"prison",1,0,0
6,"6_59","jealous_rage",0,6,"prison",1,0,0
6,"6_60","operable",1,3,"prison",1,0,0
6,"6_61","operable",0,6,"prison",1,0,0
6,"6_62","inoperable",1,5,"free",0,0,1
6,"6_63","inoperable",0,2,"prison",1,0,0
6,"6_64","inoperable",1,5,"mental_inst",0,1,0
6,"6_65","inoperable",0,2,"prison",1,0,0
6,"6_66","inoperable",1,4,"prison",1,0,0
6,"6_67","jealous_rage",0,2,"prison",1,0,0
6,"6_68","inoperable",1,7,"free",0,0,1
6,"6_69","inoperable",0,6,"mental_inst",0,1,0
6,"6_70","operable",1,5,"mental_inst",0,1,0
6,"6_71","operable",0,5,"mental_inst",0,1,0
6,"6_72","inoperable",1,5,"free",0,0,1
6,"6_73","operable",0,1,"mental_inst",0,1,0
6,"6_74","operable",1,7,"free",0,0,1
6,"6_75","inoperable",0,6,"prison",1,0,0
6,"6_76","operable",1,4,"mental_inst",0,1,0
6,"6_77","operable",0,6,"prison",1,0,0
6,"6_78","operable",1,1,"mental_inst",0,1,0
6,"6_79","operable",0,3,"mental_inst",0,1,0
6,"6_80","jealous_rage",1,6,"free",0,0,1
7,"7_1","inoperable",0,3,"prison",1,0,0
7,"7_2","operable",1,7,"prison",1,0,0
7,"7_3","jealous_rage",0,7,"free",0,0,1
7,"7_4","inoperable",1,4,"prison",1,0,0
7,"7_5","operable",0,2,"mental_inst",0,1,0
7,"7_6","jealous_rage",1,4,"free",0,0,1
7,"7_7","inoperable",0,1,"free",0,0,1
7,"7_8","jealous_rage",1,3,"free",0,0,1
7,"7_9","inoperable",0,1,"mental_inst",0,1,0
7,"7_10","jealous_rage",1,6,"mental_inst",0,1,0
7,"7_11","operable",0,3,"free",0,0,1
7,"7_12","jealous_rage",1,5,"prison",1,0,0
7,"7_13","jealous_rage",0,4,"mental_inst",0,1,0
7,"7_14","inoperable",1,5,"free",0,0,1
7,"7_15","jealous_rage",0,5,"prison",1,0,0
7,"7_16","jealous_rage",1,2,"free",0,0,1
7,"7_17","operable",0,4,"prison",1,0,0
7,"7_18","jealous_rage",1,4,"free",0,0,1
7,"7_19","operable",0,3,"mental_inst",0,1,0
7,"7_20","operable",1,3,"prison",1,0,0
7,"7_21","inoperable",0,7,"prison",1,0,0
7,"7_22","inoperable",1,2,"free",0,0,1
7,"7_23","operable",0,2,"prison",1,0,0
7,"7_24","inoperable",1,7,"prison",1,0,0
7,"7_25","operable",0,3,"mental_inst",0,1,0
7,"7_26","operable",1,1,"mental_inst",0,1,0
7,"7_27","inoperable",0,7,"free",0,0,1
7,"7_28","jealous_rage",1,7,"prison",1,0,0
7,"7_29","operable",0,6,"free",0,0,1
7,"7_30","inoperable",1,2,"free",0,0,1
7,"7_31","inoperable",0,3,"mental_inst",0,1,0
7,"7_32","inoperable",1,3,"mental_inst",0,1,0
7,"7_33","operable",0,1,"mental_inst",0,1,0
7,"7_34","inoperable",1,7,"prison",1,0,0
7,"7_35","inoperable",0,7,"mental_inst",0,1,0
7,"7_36","jealous_rage",1,6,"prison",1,0,0
7,"7_37","jealous_rage",0,5,"free",0,0,1
7,"7_38","inoperable",1,5,"prison",1,0,0
7,"7_39","inoperable",0,1,"prison",1,0,0
7,"7_40","jealous_rage",1,3,"mental_inst",0,1,0
